Nom;Bio;Thématique 1;Thématique 2;Avatar
Pierre Bourdiable;Ce sociologue très connu est parfois un peu grognon et il n'aime pas trop les journalistes. Heureusement, vous avez su lui prouver votre valeur : vous pouvez compter sur lui pour vous aider !;Société;;
Olivier Béchamel;Ce professeur de la prestigieuse école Sciences-Pipo est un célèbre observateur de la vie politique française. Il lui arrive aussi d'être invité dans des émissions de télé comme « Tête sur tête ».;Politique;;
Bernard Féta;Ce journaliste est un expert des questions internationales et de la géopolitique. Il est très occupé, mais comme vous avez été le baby-sitter de ses enfants, il ne peut rien vous refuser.;International;;
Jacques Tatami;Cet économiste est un expert écouté par les plus grands dirigeants français. Il écrit aussi régulièrement dans des journaux, et vous l'avez rencontré pendant un stage.;Économie;;
Jean-Claude Jamaiszen;Biologiste de formation, ce chercheur s'intéresse à toutes les formes de vulgarisation scientifique. Il adore aider les journalistes, mais il est aussi très bavard.;Science, technologie et jeux vidéo;;
Michel Pocker;Ce producteur et animateur a un carnet d'adresses impressionnant. Il connaît presque toutes les stars, car il les a toutes invitées dans ses émissions !;Culture, sport et people;;
Pascal Périné;Ancien chercheur en sciences politiques, cet intellectuel connaît aussi très bien la société française. Et coup de chance : c'est votre voisin !;Société;Politique;
Thomas Ticketpris;Cet économiste doté d'un quotient intellectuel de 182 est spécialisé dans l'étude des inégalités dans le monde. Une fois, vous lui avez tenu la porte, et depuis, il a une dette envers vous.;International;Économie;
Mac Lesprit;Cet ancien animateur télé, qui animait une émission de vulgarisation scientifique (E=K6), est aussi ami avec un grand nombre de célébrités. Depuis qu'il est à la retraite, il s'ennuie un peu et adore quand vous l'appelez.;Science, technologie et jeux vidéo;Culture, sport et people;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
