pseudo;nom complet;Bio;Avatar;Thématique1;Thématique2;Crédibilité;Type de compte
@Agence_France_Bref ;Agence France Bref;Notre agence de presse, créée en 1944, dispose d’un réseau de journalistes dans le monde entier. Nous sommes connus pour traiter les actualités internationales avec rapidité et précision. Et aussi, notre cantine est hyper bonne !;;International;Économie;Très crédible;fil d’agence / organes de presse (type AFP)
@francediplo;Ministère des Affaires étrangères;Notre mission : faire rayonner le pays à l'étranger, œuvrer pour la paix dans le monde et organiser des réceptions qui sont toujours un succès. ;;International;Politique;Très crédible;Compte officiel
@EuropeInfo;Europe Info;Fil Cuicuitter d'un blog rassemblant des passionnés de l'Union européenne. Tout ce qui se passe en Europe se retrouve ici !;;International;;Assez crédible;Compte non identifié
@PassionAsie;Alain Dochine;Savez-vous ce qui se passe de l'autre côté du monde, en Asie ? Non ? Alors suivez-moi !;;International;Culture, sport et people;Assez crédible;Compte d'expert
@VivelesUS;Vive les USA !;1001 raisons qui montrent pourquoi les USA sont les BOSS du monde ! Ici, tout est vrai, pas comme sur @RussiedAmour !;;International;;Peu crédible;Compte non identifié
@RussiedAmour;La Russie, j'adore !;Des nouvelles fraîches de la plus belle des fédérations, la Russie ! Nous corrigeons aussi les inepties que raconte @VivelesUS…;;International;;Peu crédible;Compte non identifié
@BernardPipot1;Bernard Pipot;Ancien journaliste. Amoureux des lettres, de l'orthographe, du théâtre et de la littérature, j'adore faire des jeux de mots. A Meaux. ;;Culture, sport et people;;Très crédible;Compte d'expert
@La_FFS;Fédération française de sport;Compte officiel de la Fédération française de sport. Allez les Bleus ! Si vous gagnez, c'est bien ! Si vous perdez, c'est bien aussi… mais moins.;;Culture, sport et people;;Très crédible;Compte officiel
@RicylNanouna;Ricyl Nanouna;J’adore les stars, les soirées, les lunettes de soleil et les secrets ! Je travaille pour une super émission de la TNT, que vous regardez tous, même si vous ne voulez pas l'avouer !;;Culture, sport et people;;Assez crédible;Compte de journaliste
@CultureStreet;Culture Street;Comme l'a dit le grand philosophe Justin Ptitbeurre : « La culture, c'est bien ». Le premier site d'actu des cultures urbaines.;;Culture, sport et people;Science, technologie et jeux vidéo;Assez crédible;fil d’agence / organes de presse (type AFP)
@SblaggMan_Officiel;Sblagg Man;Je suis Sblagg Man. Tout le monde me connaît. Pas toi ? Tssss… T'as pas regardé mes vidéos sur GroTube, ou quoi ? ;;Culture, sport et people;International;Peu crédible;Compte de people
@APManiac;André-Pierre Maniac;Footballeur. Attaquant. Buteur. Le meilleur.;;Culture, sport et people;;Peu crédible;Compte de people
